National Dex,Name,Sprite,Caught,"0,00%",,Boxable Forms,Name,Sprite,Caught,"0,00%",,Alolan,Name,Sprite,Caught,"0,00%",,Galarian,Name,Sprite,Caught,"0,00%",,Hisuian,Name,Sprite,Caught,"0,00%",,Paldean,Name,Sprite,Caught,"0,00%",,Gender Variation,Name,Sprite,Caught,"0,00%",,Mega,Name,Sprite,Caught,"0,00%",,Gmax,Name,Sprite,Caught,"0,00%",,Gmax Forms,Name,Sprite,Caught,"0,00%"
11,Metapod,,FALSE,,,11,Unown-G,,FALSE,,,11,Alolan Persian,,FALSE,,,11,Galarian Moltres,,FALSE,,,11,Hisuian Zoroark,,FALSE,,,,,,,,,11,Raichu ♂,,FALSE,,,11,Mega Pinsir,,FALSE,,,11,Gmax Pikachu,,FALSE,,,11,Alcremie Berry Vanilla Cream,,FALSE,
12,Butterfree,,FALSE,,,12,Unown-H,,FALSE,,,12,Alolan Geodude,,FALSE,,,12,Galarian Slowking,,FALSE,,,12,Hisuian Braviary,,FALSE,,,,,,,,,12,Raichu ♀,,FALSE,,,12,Mega Gyarados,,FALSE,,,12,Gmax Meowth,,FALSE,,,12,Alcremie Flower Vanilla Cream,,FALSE,
13,Weedle,,FALSE,,,13,Unown-I,,FALSE,,,13,Alolan Graveler,,FALSE,,,13,Galarian Corsola,,FALSE,,,13,Hisuian Sliggoo,,FALSE,,,,,,,,,13,Zubat ♂,,FALSE,,,13,Mega Aerodactyl,,FALSE,,,13,Gmax Machamp,,FALSE,,,13,Alcremie Strawberry Vanilla Cream,,FALSE,
14,Kakuna,,FALSE,,,14,Unown-J,,FALSE,,,14,Alolan Golem,,FALSE,,,14,Galarian Zigzagoon,,FALSE,,,14,Hisuian Goodra,,FALSE,,,,,,,,,14,Zubat ♀,,FALSE,,,14,Mega Mewtwo X,,FALSE,,,14,Gmax Gengar,,FALSE,,,14,Alcremie Heart Vanilla Cream,,FALSE,
15,Beedrill,,FALSE,,,15,Unown-K,,FALSE,,,15,Alolan Grimer,,FALSE,,,15,Galarian Linoone,,FALSE,,,15,Hisuian Avalugg,,FALSE,,,,,,,,,15,Golbat ♂,,FALSE,,,15,Mega Mewtwo Y,,FALSE,,,15,Gmax Kingler,,FALSE,,,15,Alcremie Clover Vanilla Cream,,FALSE,
16,Pidgey,,FALSE,,,16,Unown-L,,FALSE,,,16,Alolan Muk,,FALSE,,,16,Galarian Darumaka,,FALSE,,,16,Hisuian Decidueye,,FALSE,,,,,,,,,16,Golbat ♀,,FALSE,,,16,Mega Ampharos,,FALSE,,,16,Gmax Lapras,,FALSE,,,16,Alcremie Ribbon Vanilla Cream,,FALSE,
17,Pidgeotto,,FALSE,,,17,Unown-M,,FALSE,,,17,Alolan Exeggutor,,FALSE,,,17,Galarian Darmanitan,,FALSE,,,,,,,,,,,,,,,17,Gloom ♂,,FALSE,,,17,Mega Steelix,,FALSE,,,17,Gmax Eevee,,FALSE,,,17,Alcremie Star Vanilla Cream,,FALSE,
18,Pidgeot,,FALSE,,,18,Unown-N,,FALSE,,,18,Alolan Marowak,,FALSE,,,18,Galarian Yamask,,FALSE,,,,,,,,,,,,,,,18,Gloom ♀,,FALSE,,,18,Mega Scizor,,FALSE,,,18,Gmax Snorlax,,FALSE,,,18,Gmax Urshifu Single Strike,,,
19,Rattata,,FALSE,,,19,Unown-O,,FALSE,,,,,,,,,19,Galarian Stunfisk,,FALSE,,,,,,,,,,,,,,,19,Vileplume ♂,,FALSE,,,19,Mega Heracross,,FALSE,,,19,Gmax Garbodor,,FALSE,,,19,Gmax Urshifu Rapid Strike,,,
20,Raticate,,FALSE,,,20,Unown-P,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Vileplume ♀,,FALSE,,,20,Mega Houndoom,,FALSE,,,20,Gmax Melmetal,,,,,,,,,
21,Spearow,,FALSE,,,21,Unown-Q,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Kadabra ♂,,FALSE,,,21,Mega Tyranitar,,FALSE,,,21,Gmax Rillaboom,,FALSE,,,,,,,
22,Fearow,,FALSE,,,22,Unown-R,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Kadabra ♀,,FALSE,,,22,Mega Sceptile,,FALSE,,,22,Gmax Cinderace,,FALSE,,,,,,,
23,Ekans,,FALSE,,,23,Unown-S,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Alakazam ♂,,FALSE,,,23,Mega Blaziken,,FALSE,,,23,Gmax Inteleon,,FALSE,,,,,,,
24,Arbok,,FALSE,,,24,Unown-T,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Alakazam ♀,,FALSE,,,24,Mega Swampert,,FALSE,,,24,Gmax Corviknight,,FALSE,,,,,,,
25,Pikachu,,FALSE,,,25,Unown-U,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Doduo ♂,,FALSE,,,25,Mega Gardevoir,,FALSE,,,25,Gmax Orbeetle,,FALSE,,,,,,,
26,Raichu,,FALSE,,,26,Unown-V,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Doduo ♀,,FALSE,,,26,Mega Sableye,,FALSE,,,26,Gmax Drednaw,,FALSE,,,,,,,
27,Sandshrew,,FALSE,,,27,Unown-W,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Dodrio ♂,,FALSE,,,27,Mega Mawile,,FALSE,,,27,Gmax Coalossal,,FALSE,,,,,,,
28,Sandslash,,FALSE,,,28,Unown-X,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Dodrio ♀,,FALSE,,,28,Mega Aggron,,FALSE,,,28,Gmax Flapple,,FALSE,,,,,,,
29,Nidoran♀,,FALSE,,,29,Unown-Y,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Hypno ♂,,FALSE,,,29,Mega Medicham,,FALSE,,,29,Gmax Appletun,,FALSE,,,,,,,
30,Nidorina,,FALSE,,,30,Unown-Z,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Hypno ♀,,FALSE,,,30,Mega Manectric,,FALSE,,,30,Gmax Sandaconda,,FALSE,,,,,,,
31,Nidoqueen,,FALSE,,,31,Unown-Exclamation Mark,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Rhyhorn ♂,,FALSE,,,31,Mega Sharpedo,,FALSE,,,31,Gmax Toxtricity,,FALSE,,,,,,,
32,Nidoran♂,,FALSE,,,32,Unown-Question Mark,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Rhyhorn ♀,,FALSE,,,32,Mega Camerupt,,FALSE,,,32,Gmax Centiskorch,,FALSE,,,,,,,
33,Nidorino,,FALSE,,,33,Deoxys-Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Rhydon ♂,,FALSE,,,33,Mega Altaria,,FALSE,,,33,Hattrem,,,,,,,,,
34,Nidoking,,FALSE,,,34,Deoxys-Attack,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Rhydon ♀,,FALSE,,,34,Mega Banette,,FALSE,,,34,Gmax Hatterene,,FALSE,,,,,,,
35,Clefairy,,FALSE,,,35,Deoxys-Defense,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Goldeen ♂,,FALSE,,,35,Mega Absol,,FALSE,,,35,Gmax Grimmsnarl,,FALSE,,,,,,,
36,Clefable,,FALSE,,,36,Deoxys-Speed,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Goldeen ♀,,FALSE,,,36,Mega Glalie,,FALSE,,,36,Milcery,,FALSE,,,,,,,
37,Vulpix,,FALSE,,,37,Burmy Plant Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Seaking ♂,,FALSE,,,37,Mega Salamence,,FALSE,,,37,Gmax Alcremie,,FALSE,,,,,,,
38,Ninetales,,FALSE,,,38,Burmy Sandy Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Seaking ♀,,FALSE,,,38,Mega Metagross,,FALSE,,,38,Gmax Copperajah,,FALSE,,,,,,,
39,Jigglypuff,,FALSE,,,39,Burmy Trash Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Scyther ♂,,FALSE,,,39,Mega Latias,,FALSE,,,39,Gmax Duraludon,,FALSE,,,,,,,
40,Wigglytuff,,FALSE,,,40,Wormadam Plant Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Scyther♀ ,,FALSE,,,40,Mega Latios,,FALSE,,,40,Gmax Urshifu,,,,,,,,,
41,Zubat,,FALSE,,,41,Wormadam Sandy Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Magikarp ♂,,FALSE,,,41,Primal Kyogre,,FALSE,,,,,,,,,,,,,
42,Golbat,,FALSE,,,42,Wormadam Trash Cloak,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Magikarp ♀,,FALSE,,,42,Primal Groudon,,FALSE,,,,,,,,,,,,,
43,Oddish,,FALSE,,,43,Shellos West,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Gyarados ♂,,FALSE,,,43,Mega Rayquaza,,FALSE,,,,,,,,,,,,,
44,Gloom,,FALSE,,,44,Shellos East,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Gyarados ♀,,FALSE,,,44,Mega Lopunny,,FALSE,,,,,,,,,,,,,
45,Vileplume,,FALSE,,,45,Gastrodon West,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Eevee ♂,,FALSE,,,45,Mega Garchomp,,FALSE,,,,,,,,,,,,,
46,Paras,,FALSE,,,46,Gastrodon East,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Eevee ♀,,FALSE,,,46,Mega Lucario,,FALSE,,,,,,,,,,,,,
47,Parasect,,FALSE,,,47,Rotom Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Meganium ♂,,FALSE,,,47,Mega Abomasnow,,FALSE,,,,,,,,,,,,,
48,Venonat,,FALSE,,,48,Rotom Heat,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Meganium ♀,,FALSE,,,48,Mega Gallade,,FALSE,,,,,,,,,,,,,
49,Venomoth,,FALSE,,,49,Rotom Wasch,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Ledyba ♂,,FALSE,,,49,Mega Audino,,FALSE,,,,,,,,,,,,,
50,Diglett,,FALSE,,,50,Rotom Mow,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Ledyba ♀,,FALSE,,,50,Mega Diancie,,FALSE,,,,,,,,,,,,,
51,Dugtrio,,FALSE,,,51,Rotom Frost,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Ledian ♂,,FALSE,,,,,,,,,,,,,,,,,,,
52,Meowth,,FALSE,,,52,Rotom Fan,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Ledian ♀,,FALSE,,,,,,,,,,,,,,,,,,,
53,Persian,,FALSE,,,53,Dialga Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Xatu ♂,,FALSE,,,,,,,,,,,,,,,,,,,
54,Psyduck,,FALSE,,,54,Palkia Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Xatu ♀,,FALSE,,,,,,,,,,,,,,,,,,,
55,Golduck,,FALSE,,,55,Giratina Altrered,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Sudowoodo ♂,,FALSE,,,,,,,,,,,,,,,,,,,
56,Mankey,,FALSE,,,56,Shaymin Land,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Sudowoodo ♀,,FALSE,,,,,,,,,,,,,,,,,,,
57,Primeape,,FALSE,,,57,Shaymin Sky,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Politoed ♂,,FALSE,,,,,,,,,,,,,,,,,,,
58,Growlithe,,FALSE,,,58,Arceus Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,58,Politoed ♀,,FALSE,,,,,,,,,,,,,,,,,,,
59,Arcanine,,FALSE,,,59,Basculin Red-Striped,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Aipom ♂,,FALSE,,,,,,,,,,,,,,,,,,,
60,Poliwag,,FALSE,,,60,Basculin Blue-Striped,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Aipom ♀,,FALSE,,,,,,,,,,,,,,,,,,,
61,Poliwhirl,,FALSE,,,61,Basculin White-Striped,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Wooper ♂,,FALSE,,,,,,,,,,,,,,,,,,,
62,Poliwrath,,FALSE,,,62,Spring Deerling,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Wooper ♀,,FALSE,,,,,,,,,,,,,,,,,,,
63,Abra,,FALSE,,,63,Summer Deerling,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Quagsire ♂,,FALSE,,,,,,,,,,,,,,,,,,,
64,Kadabra,,FALSE,,,64,Autumn Deerling,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Quagsire ♀,,FALSE,,,,,,,,,,,,,,,,,,,
65,Alakazam,,FALSE,,,65,Winter Deerling,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Murkrow ♂,,FALSE,,,,,,,,,,,,,,,,,,,
66,Machop,,FALSE,,,66,Spring Sawsbuck,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Murkrow ♀,,FALSE,,,,,,,,,,,,,,,,,,,
67,Machoke,,FALSE,,,67,Summer Sawsbuck,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,67,Wobbuffet ♂,,FALSE,,,,,,,,,,,,,,,,,,,
68,Machamp,,FALSE,,,68,Autumn Sawsbuck,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,68,Wobbuffet ♀,,FALSE,,,,,,,,,,,,,,,,,,,
69,Bellsprout,,FALSE,,,69,Winter Sawsbuck,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Girafarig ♂,,FALSE,,,,,,,,,,,,,,,,,,,
70,Weepinbell,,FALSE,,,70,Tornadus Incarnate,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Girafarig ♀,,FALSE,,,,,,,,,,,,,,,,,,,
71,Victreebel,,FALSE,,,71,Tornadus Therian,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Gligar ♂,,FALSE,,,,,,,,,,,,,,,,,,,
72,Tentacool,,FALSE,,,72,Thundurus Incarnate,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Gligar ♀,,FALSE,,,,,,,,,,,,,,,,,,,
73,Tentacruel,,FALSE,,,73,Thundurus Therian,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Steelix ♂,,FALSE,,,,,,,,,,,,,,,,,,,
74,Geodude,,FALSE,,,74,Landorus Incarnate,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Steelix ♀,,FALSE,,,,,,,,,,,,,,,,,,,
75,Graveler,,FALSE,,,75,Landorus Therian,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Scizor ♂,,FALSE,,,,,,,,,,,,,,,,,,,
76,Golem,,FALSE,,,76,Kyurem Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,76,Scizor ♀,,FALSE,,,,,,,,,,,,,,,,,,,
77,Ponyta,,FALSE,,,77,Keldeo Ordinary,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Heracross ♂,,FALSE,,,,,,,,,,,,,,,,,,,
78,Rapidash,,FALSE,,,78,Keldeo Resolute,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Heracross ♀,,FALSE,,,,,,,,,,,,,,,,,,,
79,Slowpoke,,FALSE,,,79,Meloetta Aria,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,79,Sneasel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
80,Slowbro,,FALSE,,,80,Genesect Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Sneasel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
81,Magnemite,,FALSE,,,81,Vivillon Marine Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Hisui Sneasel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
82,Magneton,,FALSE,,,82,Vivillon River Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Hisui Sneasel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
83,Farfetch'd,,FALSE,,,83,Vivillon Elegant Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Ursaring ♂,,FALSE,,,,,,,,,,,,,,,,,,,
84,Doduo,,FALSE,,,84,Vivillon Archipelago Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,84,Ursaring ♀,,FALSE,,,,,,,,,,,,,,,,,,,
85,Dodrio,,FALSE,,,85,Vivillon Icy Snow Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Piloswine ♂,,FALSE,,,,,,,,,,,,,,,,,,,
86,Seel,,FALSE,,,86,Vivillon Sandstorm Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,86,Piloswine ♀,,FALSE,,,,,,,,,,,,,,,,,,,
87,Dewgong,,FALSE,,,87,Vivillon Meadow Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,87,Octillery ♂,,FALSE,,,,,,,,,,,,,,,,,,,
88,Grimer,,FALSE,,,88,Vivillon Modern Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,88,Octillery ♀,,FALSE,,,,,,,,,,,,,,,,,,,
89,Muk,,FALSE,,,89,Vivillon Savanna Patern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Houndoom ♂,,FALSE,,,,,,,,,,,,,,,,,,,
90,Shellder,,FALSE,,,90,Vivillon Sun Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Houndoom ♀,,FALSE,,,,,,,,,,,,,,,,,,,
91,Cloyster,,FALSE,,,91,Vivillon Jungle Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,91,Donphan ♂,,FALSE,,,,,,,,,,,,,,,,,,,
92,Gastly,,FALSE,,,92,Vivillon Continental Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Donphan ♀,,FALSE,,,,,,,,,,,,,,,,,,,
93,Haunter,,FALSE,,,93,Vivillon Polar Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Torchic ♂,,FALSE,,,,,,,,,,,,,,,,,,,
94,Gengar,,FALSE,,,94,Vivillon High Plains Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Torchic ♀,,FALSE,,,,,,,,,,,,,,,,,,,
95,Onix,,FALSE,,,95,Vivillon Monsoon Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Combusken ♂,,FALSE,,,,,,,,,,,,,,,,,,,
96,Drowzee,,FALSE,,,96,Vivillon Tundra Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Combusken ♀,,FALSE,,,,,,,,,,,,,,,,,,,
97,Hypno,,FALSE,,,97,Vivillon Ocean Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Blaziken ♂,,FALSE,,,,,,,,,,,,,,,,,,,
98,Krabby,,FALSE,,,98,Vivillon Garden Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Blaziken ♀,,FALSE,,,,,,,,,,,,,,,,,,,
99,Kingler,,FALSE,,,99,Vivillon Fancy Pattern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Beautifly ♂,,FALSE,,,,,,,,,,,,,,,,,,,
100,Voltorb,,FALSE,,,100,Vivillon Poké Ball Pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Beautifly ♀,,FALSE,,,,,,,,,,,,,,,,,,,
101,Electrode,,FALSE,,,101,Flabébé Red Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Dustox ♂,,FALSE,,,,,,,,,,,,,,,,,,,
102,Exeggcute,,FALSE,,,102,Flabébé White Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Dustox ♀,,FALSE,,,,,,,,,,,,,,,,,,,
103,Exeggutor,,FALSE,,,103,Flabébé Orange Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Ludicolo ♂,,FALSE,,,,,,,,,,,,,,,,,,,
104,Cubone,,FALSE,,,104,Flabébé Yellow Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Ludicolo ♀,,FALSE,,,,,,,,,,,,,,,,,,,
105,Marowak,,FALSE,,,105,Flabébé Blue Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Nuzleaf ♂,,FALSE,,,,,,,,,,,,,,,,,,,
106,Hitmonlee,,FALSE,,,106,Floette Red Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Nuzleaf ♀,,FALSE,,,,,,,,,,,,,,,,,,,
107,Hitmonchan,,FALSE,,,107,Floette White Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Shiftry ♂,,FALSE,,,,,,,,,,,,,,,,,,,
108,Lickitung,,FALSE,,,108,Floette Orange Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Shiftry ♀,,FALSE,,,,,,,,,,,,,,,,,,,
109,Koffing,,FALSE,,,109,Floette Yellow Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,109,Meditite ♂,,FALSE,,,,,,,,,,,,,,,,,,,
110,Weezing,,FALSE,,,110,Floette Blue Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,110,Meditite ♀,,FALSE,,,,,,,,,,,,,,,,,,,
111,Rhyhorn,,FALSE,,,111,Florges Red Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,111,Medicham ♂,,FALSE,,,,,,,,,,,,,,,,,,,
112,Rhydon,,FALSE,,,112,Florges White Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Medicham ♀,,FALSE,,,,,,,,,,,,,,,,,,,
113,Chansey,,FALSE,,,113,Florges Orange Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Roselia ♂,,FALSE,,,,,,,,,,,,,,,,,,,
114,Tangela,,FALSE,,,114,Florges Yellow Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,114,Roselia ♀,,FALSE,,,,,,,,,,,,,,,,,,,
115,Kangaskhan,,FALSE,,,115,Florges Blue Flower,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,115,Gulpin ♂,,FALSE,,,,,,,,,,,,,,,,,,,
116,Horsea,,FALSE,,,116,Furfrou Natural,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,116,Gulpin ♀,,FALSE,,,,,,,,,,,,,,,,,,,
117,Seadra,,FALSE,,,117,Furfrou Heart Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Swalot ♂,,FALSE,,,,,,,,,,,,,,,,,,,
118,Goldeen,,FALSE,,,118,Furfrou Star Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,118,Swalot ♀,,FALSE,,,,,,,,,,,,,,,,,,,
