My ID System,Name german,Name english,Sprite,Shiny Sprite,Nom français
16,Taubsi,Pidgey,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0016_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0016_000_mf_n_00000000_f_r.png,Roucool
17,Tauboga,Pidgeotto,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0017_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0017_000_mf_n_00000000_f_r.png,Roucoups
18,Tauboss,Pidgeot,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_000_mf_n_00000000_f_r.png,Roucarnage
18_mega,Mega Tauboss,Mega Pidgeot,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0018_001_mf_n_00000000_f_r.png,Méga Roucarnage
19,Rattfratz,Rattata,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_r.png,Rattata
19_m,Rattfratz ♂,Rattata ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_md_n_00000000_f_r.png,Rattata ♂
19_w,Rattfratz ♀,Rattata ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_000_fd_n_00000000_f_r.png,Rattata ♀
19_alola,Alola Rattfratz,Alolan Rattata,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0019_001_mf_n_00000000_f_r.png,Rattata d'alola
20,Rattikarl,Raticate,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_r.png,Rattatac
20_m,Rattikarl ♂,Raticate ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_md_n_00000000_f_r.png,Rattatac ♂
20_w,Rattikarl ♀,Raticate ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_000_fd_n_00000000_f_r.png,Rattatac ♀
20_alola,Alola Rattikarl,Alolan Raticate,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_r.png,Rattatac d'alola
20_alola_herrscher,Herrscher Alola Rattikarl,Totem Alolan Raticate,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0020_001_mf_n_00000000_f_n.png,,Rattatac d'alola dominant
21,Habitak,Spearow,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0021_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0021_000_mf_n_00000000_f_r.png,Piafabec
22,Ibitak,Fearow,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0022_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0022_000_mf_n_00000000_f_r.png,Rapasdepic
23,Rettan,Ekans,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0023_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0023_000_mf_n_00000000_f_r.png,Abo
24,Arbok,Arbok,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0024_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0024_000_mf_n_00000000_f_r.png,Arbok
25,Pikachu,Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_r.png,Pikachu
25_m,Pikachu ♂,Pikachu ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_md_n_00000000_f_r.png,Pikachu ♂
25_w,Pikachu ♀,Pikachu ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_fd_n_00000000_f_r.png,Pikachu ♀
25_cosplay,Cosplay Pikachu,Cosplay Pikachu,https://www.serebii.net/xy/pokemon/025-c.png,https://www.serebii.net/Shiny/XY/025-c.png,Pikachu cosplayer
25_rocker,Rocker-Pikachu,Pikachu Rock Star,https://images.wikidexcdn.net/mwuploads/wikidex/d/d5/latest/20211020231246/Pikachu_Estrella_del_Rock_GO.png,https://images.wikidexcdn.net/mwuploads/wikidex/2/24/latest/20211020231249/Pikachu_Estrella_del_Rock_GO_variocolor.png,Pikachu rockeur
25_damen,Damen-Pikachu,Pikachu Belle,https://images.wikidexcdn.net/mwuploads/wikidex/6/64/latest/20231122221643/Pikachu_arist%C3%B3crata_ROZA_variocolor.png,,Pikachu lady
25_star,Star-Pikachu,Pikachu Pop Star,https://images.wikidexcdn.net/mwuploads/wikidex/f/f3/latest/20211020231242/Pikachu_Estrella_del_Pop_GO.png,https://images.wikidexcdn.net/mwuploads/wikidex/4/48/latest/20211020231244/Pikachu_Estrella_del_Pop_GO_variocolor.png,Pikachu star
25_professor,Professor-Pikachu,Pikachu Ph. D,https://images.wikidexcdn.net/mwuploads/wikidex/5/50/latest/20230809030911/Pikachu_Erudita_GO.png,https://images.wikidexcdn.net/mwuploads/wikidex/3/32/latest/20230809030913/Pikachu_Erudita_GO_variocolor.png,Pikachu docteur
25_wrestler,Wrestler-Pikachu,Pikachu Libre,https://images.wikidexcdn.net/mwuploads/wikidex/1/15/latest/20211020135622/Pikachu_Libre_GO.png,https://images.wikidexcdn.net/mwuploads/wikidex/1/1e/latest/20211020135624/Pikachu_Libre_GO_variocolor.png,Pikachu catcheur
25_ash_kanto,Ash-Pikachu (Kanto),Original Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_001_mo_n_00000000_f_n.png,,Pikachu casquette originale
25_ash_hoenn,Ash-Pikachu (Hoenn),Hoenn Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_002_mo_n_00000000_f_n.png,,Pikachu casquette de hoen
25_ash_sinnoh,Ash-Pikachu (Sinnoh),Sinnoh Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_003_mo_n_00000000_f_n.png,,Pikachu casquette de sinnoh
25_ash_einall,Ash-Pikachu (Einall),Unova Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_004_mo_n_00000000_f_n.png,,Pikachu casquette de unys
25_ash_kalos,Ash-Pikachu (Kalos),Kalos Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_005_mo_n_00000000_f_n.png,,Pikachu casquette de kalos
25_ash_alola,Ash-Pikachu (Alola),Alola Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_006_mo_n_00000000_f_n.png,,Pikachu casquette d'alola
25_partner_cap,Partner Cap Pikachu,Partner Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_007_mo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_007_mo_n_00000000_f_n.png,Pikachu casquette partenaire
25_ash_weltreise,Ash-Pikachu (Weltreisekappe),World Cap Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_009_mo_n_00000000_f_n.png,,Pikachu casquette monde
25_partner,Partner Pikachu,Partner Pikachu,https://archives.bulbagarden.net/media/upload/thumb/0/09/0025Pikachu_PE.png/600px-0025Pikachu_PE.png?20181113141946,,Pikachu partenaire
25_gmax,Gmax Pikachu,Gmax Pikachu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0025_000_mf_g_00000000_f_r.png,Pikachu Gigamax
26,Raichu,Raichu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_r.png,Raichu
26_m,Raichu ♂,Raichu ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_md_n_00000000_f_r.png,Raichu ♂
26_w,Raichu ♀,Raichu ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_000_fd_n_00000000_f_r.png,Raichu ♀
26_alola,Alola Raichu,Alolan Raichu,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0026_001_mf_n_00000000_f_r.png,Raichu d'alola
27,Sandan,Sandshrew,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_000_mf_n_00000000_f_r.png,Sabelette
27_alola,Alola Sandan,Alolan Sandshrew,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0027_001_mf_n_00000000_f_r.png,Sabelette d'alola
28,Sandamer,Sandslash,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_000_mf_n_00000000_f_r.png,Sablaireau
28_alola,Alola Sandamer,Alolan Sandslash,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0028_001_mf_n_00000000_f_r.png,Sablaireau d'alola
29,Nidoran♀,Nidoran♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0029_000_fo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0029_000_fo_n_00000000_f_r.png,Nidoran♀
30,Nidorina,Nidorina,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0030_000_fo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0030_000_fo_n_00000000_f_r.png,Nidorina
31,Nidoqueen,Nidoqueen,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0031_000_fo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0031_000_fo_n_00000000_f_r.png,Nidoqueen
32,Nidoran♂,Nidoran♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0032_000_mo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0032_000_mo_n_00000000_f_r.png,Nidoran♂
33,Nidorino,Nidorino,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0033_000_mo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0033_000_mo_n_00000000_f_r.png,Nidorino
34,Nidoking,Nidoking,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0034_000_mo_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0034_000_mo_n_00000000_f_r.png,Nidoking
35,Piepi,Clefairy,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0035_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0035_000_mf_n_00000000_f_r.png,Mélofée
36,Pixi,Clefable,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0036_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0036_000_mf_n_00000000_f_r.png,Mélodelfe
36_mega,Mega Pixi,Mega Clefable,https://media.bisafans.de/b7c173e//pokemon/artwork/036-mega.png,,Méga Mélodelfe
37,Vulpix,Vulpix,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_000_mf_n_00000000_f_r.png,Goupix
37_alola,Alola Vulpix,Alolan Vulpix,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0037_001_mf_n_00000000_f_r.png,Goupix d'alola
38,Vulnona,Ninetales,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_000_mf_n_00000000_f_r.png,Feunard
38_alola,Alola Vulnona,Alolan Ninetales,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0038_001_mf_n_00000000_f_r.png,Feunard d'alola
39,Pummeluff,Jigglypuff,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0039_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0039_000_mf_n_00000000_f_r.png,Rondoudou
40,Knudeluff,Wigglytuff,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0040_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0040_000_mf_n_00000000_f_r.png,Grodoudou
41,Zubat,Zubat,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_r.png,Nosferapti
41_m,Zubat ♂,Zubat ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_md_n_00000000_f_r.png,Nosferapti ♂
41_w,Zubat ♀,Zubat ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0041_000_fd_n_00000000_f_r.png,Nosferapti ♀
42,Golbat,Golbat,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_r.png,Nosferalto
42_m,Golbat ♂,Golbat ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_md_n_00000000_f_r.png,Nosferalto ♂
42_w,Golbat ♀,Golbat ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0042_000_fd_n_00000000_f_r.png,Nosferalto ♀
43,Myrapla,Oddish,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0043_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0043_000_mf_n_00000000_f_r.png,Mystherbe
44,Duflor,Gloom,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_r.png,Ortide
44_m,Duflor ♂,Gloom ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_md_n_00000000_f_r.png,Ortide ♂
44_w,Duflor ♀,Gloom ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0044_000_fd_n_00000000_f_r.png,Ortide ♀
45,Giflor,Vileplume,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_r.png,Rafflesia
45_m,Giflor ♂,Vileplume ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_md_n_00000000_f_r.png,Rafflesia ♂
45_w,Giflor ♀,Vileplume ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0045_000_fd_n_00000000_f_r.png,Rafflesia ♀
46,Paras,Paras,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0046_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0046_000_mf_n_00000000_f_r.png,Paras
47,Parasek,Parasect,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0047_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0047_000_mf_n_00000000_f_r.png,Parasect
48,Bluzuk,Venonat,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0048_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0048_000_mf_n_00000000_f_r.png,Mimitoss
49,Omot,Venomoth,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0049_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0049_000_mf_n_00000000_f_r.png,Aéromite
50,Digda,Diglett,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_000_mf_n_00000000_f_r.png,Taupiqueur
50_alola,Alola Digda,Alolan Diglett,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0050_001_mf_n_00000000_f_r.png,Taupiqueur d'alola
51,Digdri,Dugtrio,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_000_mf_n_00000000_f_r.png,Triopikeur
51_alola,Alola Digdri,Alolan Dugtrio,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0051_001_mf_n_00000000_f_r.png,Triopikeur d'alola
52,Mauzi,Meowth,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_n_00000000_f_r.png,Miaouss
52_alola,Alola Mauzi,Alolan Mewoth,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_001_mf_n_00000000_f_r.png,Miaouss d'alola
52_galar,Galar Mauzi,Galarian Meowth,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_002_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_002_mf_n_00000000_f_r.png,Miaouss de galar
52_gmax,Gmax Mauzi,Gmax Meowth,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0052_000_mf_g_00000000_f_r.png,Miaouss Gigamax
